Data;Cambio
23/05/2023;4,9668
22/05/2023;4,9674
19/05/2023;4,9852
18/05/2023;4,9641
17/05/2023;4,9507
16/05/2023;4,9116
15/05/2023;4,9097
12/05/2023;4,9228
11/05/2023;4,9690
10/05/2023;4,9541
09/05/2023;5,0001
08/05/2023;4,9690
05/05/2023;4,9690
04/05/2023;5,0100
03/05/2023;5,0221
02/05/2023;5,0329
28/04/2023;5,0001
27/04/2023;5,0144
26/04/2023;5,0579
25/04/2023;5,0607
24/04/2023;5,0589
20/04/2023;5,0491
19/04/2023;5,0461
18/04/2023;4,9672
17/04/2023;4,9415
14/04/2023;4,9449
13/04/2023;4,9091
12/04/2023;4,9490
11/04/2023;5,0122
10/04/2023;5,0828
06/04/2023;5,0677
05/04/2023;5,0441
04/04/2023;5,0756
03/04/2023;5,0631
31/03/2023;5,0798
30/03/2023;5,1248
29/03/2023;5,1487
28/03/2023;5,1727
27/03/2023;5,2300
24/03/2023;5,2915
23/03/2023;5,2626
22/03/2023;5,2642
21/03/2023;5,2438
20/03/2023;5,2461
17/03/2023;5,2673
16/03/2023;5,2886
15/03/2023;5,2975
14/03/2023;5,2356
13/03/2023;5,2394
10/03/2023;5,1816
09/03/2023;5,1347
08/03/2023;5,1381
07/03/2023;5,1895
06/03/2023;5,1964
03/03/2023;5,2031
02/03/2023;5,2074
01/03/2023;5,2064
28/02/2023;5,2072
27/02/2023;5,1954
24/02/2023;5,1785
23/02/2023;5,1324
22/02/2023;5,1724
17/02/2023;5,2006
16/02/2023;5,2426
15/02/2023;5,2237
14/02/2023;5,1501
13/02/2023;5,1828
10/02/2023;5,2520
09/02/2023;5,2309
08/02/2023;5,2030
07/02/2023;5,1689
06/02/2023;5,1757
03/02/2023;5,1024
02/02/2023;4,9895
01/02/2023;5,0715
31/01/2023;5,0987
30/01/2023;5,0953
27/01/2023;5,0761
26/01/2023;5,0945
25/01/2023;5,1036
24/01/2023;5,1690
23/01/2023;5,1916
20/01/2023;5,1980
19/01/2023;5,2138
18/01/2023;5,0903
17/01/2023;5,1197
16/01/2023;5,1109
13/01/2023;5,1140
12/01/2023;5,1394
11/01/2023;5,2014
10/01/2023;5,2389
09/01/2023;5,2961
06/01/2023;5,2849
05/01/2023;5,4020
04/01/2023;5,4453
03/01/2023;5,3753
02/01/2023;5,3430
30/12/2022;5,2171
29/12/2022;5,2171
28/12/2022;5,2730
27/12/2022;5,2826
26/12/2022;5,1866
23/12/2022;5,1439
22/12/2022;5,1865
21/12/2022;5,2025
20/12/2022;5,2421
19/12/2022;5,3154
16/12/2022;5,2801
15/12/2022;5,3177
14/12/2022;5,3400
13/12/2022;5,2663
12/12/2022;5,3060
09/12/2022;5,2390
08/12/2022;5,2085
07/12/2022;5,2202
06/12/2022;5,2390
05/12/2022;5,2457
02/12/2022;5,1968
01/12/2022;5,1942
30/11/2022;5,2935
29/11/2022;5,3070
28/11/2022;5,3791
25/11/2022;5,3502
24/11/2022;5,3143
23/11/2022;5,3924
22/11/2022;5,3333
21/11/2022;5,3253
18/11/2022;5,3471
17/11/2022;5,4649
16/11/2022;5,3198
14/11/2022;5,3007
11/11/2022;5,3045
10/11/2022;5,3058
09/11/2022;5,1623
08/11/2022;5,1738
07/11/2022;5,0880
04/11/2022;5,0354
03/11/2022;5,1343
01/11/2022;5,1494
31/10/2022;5,2564
28/10/2022;5,3449
27/10/2022;5,2997
26/10/2022;5,3242
25/10/2022;5,3085
24/10/2022;5,2738
21/10/2022;5,1913
20/10/2022;5,2170
19/10/2022;5,2802
18/10/2022;5,2691
17/10/2022;5,2707
14/10/2022;5,2818
13/10/2022;5,3011
11/10/2022;5,2061
10/10/2022;5,1935
07/10/2022;5,2215
06/10/2022;5,2002
05/10/2022;5,2138
04/10/2022;5,1405
03/10/2022;5,1996
30/09/2022;5,4060
29/09/2022;5,3910
28/09/2022;5,3588
27/09/2022;5,3502
26/09/2022;5,3542
23/09/2022;5,2251
22/09/2022;5,1671
21/09/2022;5,1686
20/09/2022;5,1699
19/09/2022;5,2361
16/09/2022;5,2876
15/09/2022;5,2205
14/09/2022;5,1768
13/09/2022;5,1788
12/09/2022;5,1177
09/09/2022;5,1627
08/09/2022;5,2149
06/09/2022;5,2222
05/09/2022;5,1680
02/09/2022;5,1872
01/09/2022;5,2001
31/08/2022;5,1784
30/08/2022;5,0611
29/08/2022;5,0423
26/08/2022;5,0897
25/08/2022;5,1167
24/08/2022;5,1044
23/08/2022;5,1024
22/08/2022;5,1703
19/08/2022;5,1955
18/08/2022;5,1767
17/08/2022;5,1779
16/08/2022;5,1334
15/08/2022;5,0919
12/08/2022;5,1017
11/08/2022;5,1121
10/08/2022;5,0491
09/08/2022;5,1218
08/08/2022;5,1241
05/08/2022;5,2159
04/08/2022;5,2403
03/08/2022;5,2840
02/08/2022;5,2323
01/08/2022;5,1600
29/07/2022;5,1878
28/07/2022;5,2143
27/07/2022;5,3068
26/07/2022;5,3602
25/07/2022;5,4138
22/07/2022;5,4516
21/07/2022;5,4744
20/07/2022;5,4282
19/07/2022;5,3898
18/07/2022;5,3669
15/07/2022;5,4008
14/07/2022;5,4562
13/07/2022;5,3987
12/07/2022;5,4114
11/07/2022;5,3471
08/07/2022;5,3080
07/07/2022;5,3634
06/07/2022;5,4315
05/07/2022;5,3893
04/07/2022;5,3032
01/07/2022;5,3136
30/06/2022;5,2374
29/06/2022;5,2262
28/06/2022;5,2173
27/06/2022;5,2208
24/06/2022;5,2328
23/06/2022;5,1827
22/06/2022;5,1503
21/06/2022;5,1456
20/06/2022;5,1635
17/06/2022;5,1307
15/06/2022;5,1113
14/06/2022;5,1197
13/06/2022;5,1027
10/06/2022;4,9830
09/06/2022;4,8945
08/06/2022;4,8705
07/06/2022;4,8903
06/06/2022;4,7833
03/06/2022;4,7950
02/06/2022;4,7873
01/06/2022;4,7759
31/05/2022;4,7283
30/05/2022;4,7210
27/05/2022;4,7428
26/05/2022;4,7961
25/05/2022;4,8353
24/05/2022;4,8100
23/05/2022;4,7967
20/05/2022;4,8771
19/05/2022;4,9192
18/05/2022;4,9586
17/05/2022;4,9670
16/05/2022;5,0660
13/05/2022;5,1069
12/05/2022;5,1476
11/05/2022;5,1238
10/05/2022;5,1384
09/05/2022;5,1334
06/05/2022;5,0744
05/05/2022;5,0045
04/05/2022;5,0087
03/05/2022;5,0161
02/05/2022;5,0260
29/04/2022;4,9185
28/04/2022;5,0104
27/04/2022;5,0161
26/04/2022;4,9660
25/04/2022;4,8812
22/04/2022;4,7320
20/04/2022;4,6391
19/04/2022;4,6658
18/04/2022;4,6740
14/04/2022;4,7152
13/04/2022;4,6805
12/04/2022;4,6477
11/04/2022;4,7019
08/04/2022;4,7507
07/04/2022;4,7416
06/04/2022;4,6961
05/04/2022;4,6394
04/04/2022;4,6169
01/04/2022;4,6978
31/03/2022;4,7372
30/03/2022;4,7491
29/03/2022;4,7480
28/03/2022;4,7899
25/03/2022;4,7776
24/03/2022;4,8061
23/03/2022;4,8698
22/03/2022;4,9202
21/03/2022;4,9660
18/03/2022;5,0405
17/03/2022;5,0758
16/03/2022;5,1281
15/03/2022;5,1308
14/03/2022;5,0641
11/03/2022;5,0249
10/03/2022;5,0507
09/03/2022;5,0088
08/03/2022;5,0897
07/03/2022;5,0573
04/03/2022;5,0752
03/03/2022;5,0473
02/03/2022;5,1341
25/02/2022;5,1388
24/02/2022;5,1168
23/02/2022;5,0137
22/02/2022;5,0605
21/02/2022;5,0991
18/02/2022;5,1333
17/02/2022;5,1559
16/02/2022;5,1624
15/02/2022;5,1875
14/02/2022;5,2100
11/02/2022;5,1981
10/02/2022;5,2095
09/02/2022;5,2729
01/02/2022;5,2804
31/01/2022;5,3568
28/01/2022;5,3948
27/01/2022;5,3806
26/01/2022;5,4318
25/01/2022;5,4965
24/01/2022;5,4904
21/01/2022;5,4395
20/01/2022;5,4160
19/01/2022;5,4972
18/01/2022;5,5207
17/01/2022;5,5052
14/01/2022;5,5343
13/01/2022;5,5240
12/01/2022;5,5605
11/01/2022;5,6345
10/01/2022;5,6730
07/01/2022;5,6747
06/01/2022;5,7036
05/01/2022;5,6622
04/01/2022;5,6770
03/01/2022;5,6303
31/12/2021;5,5799
30/12/2021;5,5799
29/12/2021;5,6613
28/12/2021;5,6432
27/12/2021;5,6644
24/12/2021;5,6541
23/12/2021;5,6904
22/12/2021;5,7195
21/12/2021;5,7367
20/12/2021;5,7049
17/12/2021;5,6953
16/12/2021;5,6957
15/12/2021;5,7121
14/12/2021;5,6455
13/12/2021;5,6351
10/12/2021;5,5925
09/12/2021;5,5558
08/12/2021;5,5773
07/12/2021;5,6405
06/12/2021;5,6871
03/12/2021;5,6426
02/12/2021;5,6339
01/12/2021;5,6162
30/11/2021;5,6193
29/11/2021;5,6112
26/11/2021;5,5859
25/11/2021;5,5734
24/11/2021;5,6021
23/11/2021;5,6450
22/11/2021;5,5835
19/11/2021;5,5578
18/11/2021;5,5464
17/11/2021;5,4987
16/11/2021;5,4766
12/11/2021;5,4193
11/11/2021;5,4165
10/11/2021;5,4584
09/11/2021;5,4951
08/11/2021;5,5621
05/11/2021;5,5449
04/11/2021;5,5936
03/11/2021;5,6666
01/11/2021;5,6688
29/10/2021;5,6424
28/10/2021;5,6118
27/10/2021;5,5661
26/10/2021;5,5794
25/10/2021;5,5967
22/10/2021;5,7111
21/10/2021;5,6417
20/10/2021;5,5565
19/10/2021;5,5515
18/10/2021;5,5187
15/10/2021;5,4504
14/10/2021;5,4982
13/10/2021;5,5464
11/10/2021;5,5155
08/10/2021;5,5078
07/10/2021;5,5134
06/10/2021;5,5091
05/10/2021;5,4605
04/10/2021;5,4198
01/10/2021;5,3905
30/09/2021;5,4388
29/09/2021;5,4167
28/09/2021;5,4200
27/09/2021;5,3472
24/09/2021;5,3429
23/09/2021;5,2885
22/09/2021;5,2777
21/09/2021;5,3038
20/09/2021;5,3326
17/09/2021;5,3097
16/09/2021;5,2588
15/09/2021;5,2570
14/09/2021;5,2254
13/09/2021;5,2184
10/09/2021;5,2152
09/09/2021;5,2819
08/09/2021;5,2518
06/09/2021;5,1767
03/09/2021;5,1679
02/09/2021;5,1729
01/09/2021;5,1570
31/08/2021;5,1427
30/08/2021;5,1946
27/08/2021;5,2194
26/08/2021;5,2423
25/08/2021;5,2459
24/08/2021;5,3011
23/08/2021;5,3680
20/08/2021;5,4268
19/08/2021;5,4174
18/08/2021;5,3019
17/08/2021;5,2579
16/08/2021;5,2489
13/08/2021;5,2468
12/08/2021;5,2345
11/08/2021;5,2007
10/08/2021;5,2211
09/08/2021;5,2768
06/08/2021;5,2404
05/08/2021;5,1459
04/08/2021;5,2085
03/08/2021;5,2458
02/08/2021;5,1373
30/07/2021;5,1210
29/07/2021;5,0676
28/07/2021;5,1521
27/07/2021;5,1663
26/07/2021;5,1857
23/07/2021;5,1695
22/07/2021;5,1972
21/07/2021;5,2510
20/07/2021;5,2459
19/07/2021;5,1972
16/07/2021;5,0935
15/07/2021;5,0994
14/07/2021;5,0874
13/07/2021;5,1764
12/07/2021;5,2233
09/07/2021;5,2370
08/07/2021;5,2581
07/07/2021;5,2322
06/07/2021;5,1639
05/07/2021;5,0743
02/07/2021;5,0287
01/07/2021;5,0049
30/06/2021;5,0016
28/06/2021;4,9414
25/06/2021;4,9200
24/06/2021;4,9271
23/06/2021;4,9513
18/06/2021;5,0314
17/06/2021;5,0359
16/06/2021;5,0207
15/06/2021;5,0874
14/06/2021;5,0707
11/06/2021;5,1190
10/06/2021;5,0635
09/06/2021;5,0533
08/06/2021;5,0489
07/06/2021;5,0498
04/06/2021;5,0666
02/06/2021;5,1147
01/06/2021;5,1636
31/05/2021;5,2322
28/05/2021;5,2281
27/05/2021;5,2840
26/05/2021;5,3164
25/05/2021;5,3143
24/05/2021;5,3198
21/05/2021;5,3027
20/05/2021;5,2905
19/05/2021;5,2822
18/05/2021;5,2588
17/05/2021;5,2749
14/05/2021;5,2695
13/05/2021;5,2809
12/05/2021;5,2347
11/05/2021;5,2397
10/05/2021;5,2221
07/05/2021;5,2211
06/05/2021;5,2891
05/05/2021;5,3866
04/05/2021;5,4499
03/05/2021;5,4081
30/04/2021;5,4030
29/04/2021;5,3656
28/04/2021;5,3999
27/04/2021;5,4418
26/04/2021;5,4560
23/04/2021;5,4781
22/04/2021;5,4964
20/04/2021;5,5260
19/04/2021;5,5744
16/04/2021;5,6322
15/04/2021;5,6228
14/04/2021;5,6930
13/04/2021;5,7058
12/04/2021;5,6576
09/04/2021;5,6439
08/04/2021;5,5811
07/04/2021;5,5858
06/04/2021;5,6257
05/04/2021;5,6573
01/04/2021;5,6843
31/03/2021;5,6967
30/03/2021;5,7636
29/03/2021;5,7919
26/03/2021;5,7036
25/03/2021;5,6579
24/03/2021;5,5324
23/03/2021;5,4945
22/03/2021;5,5263
19/03/2021;5,5076
18/03/2021;5,5468
17/03/2021;5,6573
16/03/2021;5,5845
15/03/2021;5,6290
12/03/2021;5,5634
11/03/2021;5,5884
10/03/2021;5,7443
09/03/2021;5,8391
08/03/2021;5,7337
05/03/2021;5,6864
04/03/2021;5,6002
03/03/2021;5,7336
02/03/2021;5,6838
01/03/2021;5,5826
26/02/2021;5,5296
25/02/2021;5,4594
24/02/2021;5,4176
23/02/2021;5,4484
22/02/2021;5,5038
19/02/2021;5,3918
18/02/2021;5,4232
17/02/2021;5,4132
12/02/2021;5,3809
11/02/2021;5,3620
10/02/2021;5,4018
09/02/2021;5,4210
08/02/2021;5,3664
05/02/2021;5,3878
04/02/2021;5,3904
03/02/2021;5,3417
02/02/2021;5,3869
01/02/2021;5,4602
29/01/2021;5,4753
28/01/2021;5,4276
27/01/2021;5,3818
26/01/2021;5,3859
25/01/2021;5,5074
22/01/2021;5,4295
21/01/2021;5,3160
20/01/2021;5,3027
19/01/2021;5,2939
18/01/2021;5,2782
15/01/2021;5,2708
14/01/2021;5,2611
13/01/2021;5,3064
12/01/2021;5,4631
11/01/2021;5,4960
08/01/2021;5,3677
07/01/2021;5,3427
06/01/2021;5,3176
05/01/2021;5,3263
04/01/2021;5,1620
31/12/2020;5,1961
30/12/2020;5,1961
29/12/2020;5,1936
28/12/2020;5,2384
24/12/2020;5,1785
23/12/2020;5,1734
22/12/2020;5,1467
21/12/2020;5,1566
18/12/2020;5,0980
17/12/2020;5,0606
16/12/2020;5,1051
15/12/2020;5,0962
14/12/2020;5,0572
11/12/2020;5,0685
10/12/2020;5,0846
09/12/2020;5,1103
08/12/2020;5,0914
07/12/2020;5,1012
04/12/2020;5,1700
03/12/2020;5,1619
02/12/2020;5,2261
01/12/2020;5,2783
30/11/2020;5,3311
27/11/2020;5,3488
26/11/2020;5,3195
25/11/2020;5,3502
24/11/2020;5,4031
23/11/2020;5,3822
20/11/2020;5,3499
19/11/2020;5,3324
18/11/2020;5,2926
17/11/2020;5,3962
16/11/2020;5,4192
13/11/2020;5,4848
12/11/2020;5,4088
11/11/2020;5,4014
10/11/2020;5,3690
09/11/2020;5,2815
06/11/2020;5,5307
05/11/2020;5,5618
04/11/2020;5,6926
03/11/2020;5,6889
30/10/2020;5,7712
29/10/2020;5,7797
28/10/2020;5,7319
27/10/2020;5,6484
26/10/2020;5,6322
23/10/2020;5,6114
22/10/2020;5,5814
21/10/2020;5,6000
20/10/2020;5,5824
19/10/2020;5,6017
16/10/2020;5,6220
15/10/2020;5,6166
14/10/2020;5,5669
13/10/2020;5,5854
09/10/2020;5,5387
08/10/2020;5,6194
07/10/2020;5,6012
06/10/2020;5,5199
05/10/2020;5,6293
02/10/2020;5,6458
01/10/2020;5,6435
30/09/2020;5,6401
29/09/2020;5,6521
28/09/2020;5,5852
25/09/2020;5,5661
24/09/2020;5,5708
23/09/2020;5,5305
22/09/2020;5,4323
21/09/2020;5,4434
18/09/2020;5,2883
17/09/2020;5,2587
16/09/2020;5,2526
15/09/2020;5,2722
14/09/2020;5,2978
11/09/2020;5,2848
10/09/2020;5,2930
09/09/2020;5,3018
08/09/2020;5,3692
04/09/2020;5,2842
03/09/2020;5,3073
02/09/2020;5,3735
01/09/2020;5,3726
31/08/2020;5,4707
28/08/2020;5,4673
27/08/2020;5,5950
26/08/2020;5,5674
25/08/2020;5,5991
24/08/2020;5,5948
21/08/2020;5,6058
20/08/2020;5,6504
19/08/2020;5,4900
18/08/2020;5,4653
17/08/2020;5,4491
14/08/2020;5,3846
13/08/2020;5,3795
12/08/2020;5,4545
11/08/2020;5,4279
10/08/2020;5,3927
07/08/2020;5,4221
06/08/2020;5,3425
05/08/2020;5,2754
04/08/2020;5,3323
03/08/2020;5,3069
31/07/2020;5,2027
30/07/2020;5,1831
29/07/2020;5,1389
28/07/2020;5,1771
27/07/2020;5,1883
24/07/2020;5,2140
23/07/2020;5,1641
22/07/2020;5,1105
21/07/2020;5,2277
20/07/2020;5,3629
17/07/2020;5,3504
16/07/2020;5,3554
15/07/2020;5,3485
14/07/2020;5,4282
13/07/2020;5,3480
10/07/2020;5,3434
09/07/2020;5,2972
08/07/2020;5,3476
07/07/2020;5,3312
06/07/2020;5,3079
03/07/2020;5,3368
02/07/2020;5,3022
01/07/2020;5,3646
30/06/2020;5,4754
29/06/2020;5,4410
26/06/2020;5,4623
25/06/2020;5,3281
24/06/2020;5,2429
23/06/2020;5,1699
22/06/2020;5,2220
19/06/2020;5,3460
18/06/2020;5,3462
17/06/2020;5,2492
16/06/2020;5,1279
15/06/2020;5,1877
12/06/2020;5,0367
10/06/2020;4,8888
09/06/2020;4,9051
08/06/2020;4,9325
05/06/2020;4,9769
04/06/2020;5,1035
03/06/2020;5,0510
02/06/2020;5,2595
01/06/2020;5,3633
29/05/2020;5,4257
28/05/2020;5,3399
27/05/2020;5,2986
26/05/2020;5,3701
25/05/2020;5,4766
22/05/2020;5,5802
21/05/2020;5,6013
20/05/2020;5,6962
19/05/2020;5,7210
18/05/2020;5,7369
15/05/2020;5,8223
14/05/2020;5,9366
13/05/2020;5,9016
12/05/2020;5,7717
11/05/2020;5,7948
08/05/2020;5,7647
07/05/2020;5,8359
06/05/2020;5,6670
05/05/2020;5,5348
04/05/2020;5,5811
30/04/2020;5,4264
29/04/2020;5,4285
28/04/2020;5,5677
27/04/2020;5,6352
24/04/2020;5,6504
23/04/2020;5,4461
22/04/2020;5,3841
20/04/2020;5,2831
17/04/2020;5,2567
16/04/2020;5,2371
15/04/2020;5,2573
14/04/2020;5,1852
13/04/2020;5,1818
09/04/2020;5,0773
08/04/2020;5,2117
07/04/2020;5,2211
06/04/2020;5,2465
03/04/2020;5,2991
02/04/2020;5,2645
01/04/2020;5,2399
31/03/2020;5,1981
30/03/2020;5,1588
27/03/2020;5,1103
26/03/2020;5,0004
25/03/2020;5,0700
24/03/2020;5,0707
23/03/2020;5,0798
20/03/2020;5,0241
19/03/2020;5,1437
18/03/2020;5,1101
17/03/2020;5,0489
16/03/2020;4,9464
13/03/2020;4,7355
12/03/2020;4,8825
11/03/2020;4,6732
10/03/2020;4,6687
09/03/2020;4,7373
06/03/2020;4,6453
05/03/2020;4,6201
04/03/2020;4,5252
03/03/2020;4,4877
02/03/2020;4,4940
28/02/2020;4,4981
27/02/2020;4,4758
26/02/2020;4,4353
21/02/2020;4,3918
20/02/2020;4,3867
19/02/2020;4,3722
18/02/2020;4,3465
17/02/2020;4,3151
14/02/2020;4,3157
13/02/2020;4,3383
12/02/2020;4,3360
11/02/2020;4,3142
10/02/2020;4,3189
07/02/2020;4,3070
06/02/2020;4,2471
05/02/2020;4,2443
04/02/2020;4,2375
03/02/2020;4,2469
31/01/2020;4,2689
30/01/2020;4,2517
29/01/2020;4,2007
28/01/2020;4,2058
27/01/2020;4,2190
24/01/2020;4,1763
23/01/2020;4,1656
22/01/2020;4,1883
21/01/2020;4,2008
20/01/2020;4,1823
17/01/2020;4,1831
16/01/2020;4,1720
15/01/2020;4,1616
14/01/2020;4,1437
13/01/2020;4,1303
10/01/2020;4,0739
09/01/2020;4,0738
08/01/2020;4,0666
07/01/2020;4,0835
06/01/2020;4,0548
03/01/2020;4,0516
02/01/2020;4,0207
31/12/2019;4,0301
30/12/2019;4,0301
27/12/2019;4,0539
26/12/2019;4,0595
24/12/2019;4,0793
23/12/2019;4,0751
20/12/2019;4,0771
19/12/2019;4,0627
18/12/2019;4,0542
17/12/2019;4,0681
16/12/2019;4,0795
13/12/2019;4,0943
12/12/2019;4,1086
11/12/2019;4,1147
10/12/2019;4,1421
09/12/2019;4,1497
06/12/2019;4,1777
05/12/2019;4,2130
04/12/2019;4,1920
03/12/2019;4,2002
02/12/2019;4,2255
29/11/2019;4,2234
28/11/2019;4,2474
27/11/2019;4,2596
26/11/2019;4,2553
25/11/2019;4,2083
22/11/2019;4,1826
21/11/2019;4,2006
20/11/2019;4,2027
19/11/2019;4,2078
18/11/2019;4,1821
14/11/2019;4,1825
13/11/2019;4,1761
12/11/2019;4,1750
11/11/2019;4,1553
08/11/2019;4,1359
07/11/2019;4,0921
06/11/2019;4,0345
05/11/2019;4,0037
04/11/2019;3,9916
01/11/2019;3,9780
31/10/2019;4,0035
30/10/2019;4,0180
29/10/2019;3,9940
28/10/2019;3,9786
25/10/2019;4,0127
24/10/2019;4,0083
23/10/2019;4,0715
22/10/2019;4,0852
21/10/2019;4,1313
18/10/2019;4,1370
17/10/2019;4,1452
16/10/2019;4,1708
15/10/2019;4,1482
14/10/2019;4,1257
11/10/2019;4,1054
10/10/2019;4,1139
09/10/2019;4,0948
08/10/2019;4,0862
07/10/2019;4,0682
04/10/2019;4,0604
03/10/2019;4,1006
02/10/2019;4,1540
01/10/2019;4,1734
30/09/2019;4,1638
27/09/2019;4,1581
26/09/2019;4,1463
25/09/2019;4,1821
24/09/2019;4,1715
23/09/2019;4,1728
20/09/2019;4,1681
19/09/2019;4,1387
18/09/2019;4,0966
17/09/2019;4,0992
16/09/2019;4,0866
13/09/2019;4,0610
12/09/2019;4,0488
11/09/2019;4,0625
10/09/2019;4,1102
09/09/2019;4,0760
06/09/2019;4,0644
05/09/2019;4,0853
04/09/2019;4,1243
03/09/2019;4,1651
02/09/2019;4,1575
30/08/2019;4,1379
29/08/2019;4,1674
28/08/2019;4,1553
27/08/2019;4,1551
26/08/2019;4,1361
23/08/2019;4,0845
22/08/2019;4,0438
21/08/2019;4,0248
20/08/2019;4,0419
19/08/2019;4,0268
16/08/2019;3,9927
15/08/2019;4,0182
14/08/2019;4,0068
13/08/2019;3,9730
12/08/2019;3,9960
09/08/2019;3,9356
08/08/2019;3,9403
07/08/2019;3,9844
06/08/2019;3,9637
05/08/2019;3,9398
02/08/2019;3,8733
01/08/2019;3,8290
31/07/2019;3,7643
30/07/2019;3,7894
29/07/2019;3,7903
26/07/2019;3,7735
25/07/2019;3,7843
24/07/2019;3,7590
23/07/2019;3,7615
22/07/2019;3,7394
19/07/2019;3,7402
18/07/2019;3,7483
17/07/2019;3,7612
16/07/2019;3,7618
15/07/2019;3,7457
12/07/2019;3,7446
11/07/2019;3,7527
10/07/2019;3,7691
09/07/2019;3,7846
08/07/2019;3,8059
05/07/2019;3,8198
04/07/2019;3,7934
03/07/2019;3,8469
02/07/2019;3,8558
01/07/2019;3,8187
28/06/2019;3,8316
27/06/2019;3,8636
26/06/2019;3,8435
25/06/2019;3,8297
24/06/2019;3,8228
21/06/2019;3,8249
19/06/2019;3,8717
18/06/2019;3,8602
17/06/2019;3,8889
14/06/2019;3,8807
13/06/2019;3,8423
12/06/2019;3,8431
11/06/2019;3,8658
10/06/2019;3,8784
07/06/2019;3,8565
06/06/2019;3,8720
05/06/2019;3,8605
04/06/2019;3,8704
03/06/2019;3,8997
31/05/2019;3,9401
30/05/2019;3,9714
29/05/2019;3,9959
28/05/2019;4,0269
27/05/2019;4,0204
24/05/2019;4,0316
23/05/2019;4,0507
22/05/2019;4,0222
21/05/2019;4,0804
20/05/2019;4,1050
17/05/2019;4,0838
16/05/2019;4,0132
15/05/2019;4,0025
14/05/2019;3,9782
13/05/2019;3,9884
10/05/2019;3,9572
09/05/2019;3,9667
08/05/2019;3,9338
07/05/2019;3,9874
06/05/2019;3,9618
03/05/2019;3,9382
02/05/2019;3,9644
30/04/2019;3,9447
29/04/2019;3,9358
26/04/2019;3,9347
25/04/2019;3,9719
24/04/2019;3,9624
23/04/2019;3,9430
22/04/2019;3,9224
18/04/2019;3,9364
17/04/2019;3,9219
16/04/2019;3,8907
15/04/2019;3,8724
12/04/2019;3,8679
11/04/2019;3,8393
10/04/2019;3,8339
09/04/2019;3,8557
08/04/2019;3,8652
05/04/2019;3,8616
04/04/2019;3,8707
03/04/2019;3,8430
02/04/2019;3,8655
01/04/2019;3,8676
29/03/2019;3,8961
28/03/2019;3,9676
27/03/2019;3,9383
26/03/2019;3,8640
25/03/2019;3,8764
22/03/2019;3,8809
21/03/2019;3,7961
20/03/2019;3,7891
19/03/2019;3,7756
18/03/2019;3,8105
15/03/2019;3,8338
14/03/2019;3,8321
13/03/2019;3,8259
12/03/2019;3,8123
11/03/2019;3,8455
08/03/2019;3,8672
07/03/2019;3,8481
06/03/2019;3,8297
