Cidade,Data de Referência,Precipitação (mm)
Bagé,2015-06-01,207.20000000000002
Bagé,2015-07-01,211.4
Bagé,2015-08-01,106.8
Bagé,2015-09-01,254.4
Bagé,2015-10-01,392.4
Bagé,2015-11-01,93.4
Bagé,2015-12-01,239.79999999999998
Bagé,2016-01-01,81.60000000000001
Bagé,2016-02-01,114.2
Bagé,2016-03-01,192.8
Bagé,2016-04-01,338.0
Bagé,2016-05-01,0.0
Bagé,2016-06-01,0.0
Bagé,2016-07-01,0.0
Bagé,2016-08-01,95.0
Bagé,2016-09-01,55.0
Bagé,2016-10-01,119.2
Bagé,2016-11-01,101.2
Bagé,2016-12-01,78.8
Bagé,2017-01-01,163.4
Bagé,2017-02-01,97.6
Bagé,2017-03-01,5.0
Bagé,2017-04-01,147.8
Bagé,2017-05-01,254.6
Bagé,2017-06-01,118.8
Bagé,2017-07-01,32.6
Bagé,2017-08-01,165.4
Bagé,2017-09-01,225.0
Bagé,2017-10-01,245.20000000000002
Bagé,2017-11-01,26.8
Bagé,2017-12-01,53.4
Bagé,2018-01-01,42.8
Bagé,2018-02-01,57.4
Bagé,2018-03-01,128.8
Bagé,2018-04-01,92.4
Bagé,2018-05-01,111.0
Bagé,2018-06-01,67.8
Bagé,2018-07-01,166.6
Bagé,2018-08-01,206.6
Bagé,2018-09-01,135.4
Bagé,2018-10-01,61.800000000000004
Bagé,2018-11-01,97.4
Bagé,2018-12-01,102.2
Bagé,2019-01-01,478.0
Bagé,2019-02-01,46.8
Bagé,2019-03-01,24.8
Bagé,2019-04-01,86.4
Bagé,2019-05-01,138.0
Bagé,2019-06-01,29.8
Bagé,2019-07-01,159.6
Bagé,2019-08-01,105.2
Bagé,2019-09-01,102.0
Bagé,2019-10-01,397.4
Bagé,2019-11-01,103.2
Bagé,2019-12-01,44.6
Bagé,2020-01-01,105.8
Bagé,2020-02-01,40.2
Bagé,2020-03-01,21.4
Bagé,2020-04-01,83.0
Bagé,2020-05-01,162.6
Bagé,2020-06-01,188.0
Bagé,2020-07-01,54.2
Bagé,2020-08-01,78.0
Bagé,2020-09-01,104.6
Bagé,2020-10-01,77.6
Bagé,2020-11-01,27.0
Bagé,2020-12-01,89.6
Bagé,2021-01-01,145.4
Bagé,2021-02-01,213.6
Bagé,2021-03-01,112.4
Bagé,2021-04-01,24.8
Bagé,2021-05-01,60.2
Bagé,2021-06-01,140.6
Bagé,2021-07-01,31.400000000000002
Bagé,2021-08-01,100.0
Bagé,2021-09-01,205.0
Bagé,2021-10-01,59.2
Bagé,2021-11-01,26.4
Bagé,2021-12-01,49.0
Bagé,2022-01-01,91.2
Bagé,2022-02-01,141.4
Bagé,2022-03-01,90.4
Bagé,2022-04-01,199.8
Bagé,2022-05-01,62.0
Bagé,2022-06-01,86.4
Bagé,2022-07-01,189.2
Bagé,2022-08-01,163.6
Bagé,2022-09-01,69.4
Bagé,2022-10-01,139.0
Bagé,2022-11-01,45.0
Bagé,2022-12-01,59.2
Rio Grande,2007-01-01,28.6
Rio Grande,2007-02-01,84.8
Rio Grande,2007-03-01,130.8
Rio Grande,2007-04-01,135.4
Rio Grande,2007-05-01,103.6
Rio Grande,2007-06-01,261.59999999999997
Rio Grande,2007-07-01,105.4
Rio Grande,2007-08-01,202.2
Rio Grande,2007-09-01,119.4
Rio Grande,2007-10-01,112.0
Rio Grande,2007-11-01,38.4
Rio Grande,2007-12-01,55.2
Rio Grande,2008-01-01,0.2
Rio Grande,2008-02-01,0.0
Rio Grande,2008-03-01,19.2
Rio Grande,2008-04-01,30.0
Rio Grande,2008-05-01,167.2
Rio Grande,2008-06-01,61.4
Rio Grande,2008-07-01,89.6
Rio Grande,2008-08-01,238.8
Rio Grande,2008-09-01,118.2
Rio Grande,2008-10-01,32.2
Rio Grande,2008-11-01,34.8
Rio Grande,2008-12-01,31.8
Rio Grande,2009-01-01,102.0
Rio Grande,2009-02-01,205.4
Rio Grande,2009-03-01,103.2
Rio Grande,2009-04-01,33.4
Rio Grande,2009-05-01,71.2
Rio Grande,2009-06-01,116.6
Rio Grande,2009-07-01,32.4
Rio Grande,2009-08-01,134.6
Rio Grande,2009-09-01,0.6000000000000001
Rio Grande,2009-10-01,0.0
Rio Grande,2009-11-01,158.6
Rio Grande,2009-12-01,91.2
Rio Grande,2010-01-01,3.4000000000000004
Rio Grande,2010-02-01,258.0
Rio Grande,2010-03-01,32.0
Rio Grande,2010-04-01,102.2
Rio Grande,2010-05-01,163.2
Rio Grande,2010-06-01,87.0
Rio Grande,2010-07-01,215.2
Rio Grande,2010-08-01,11.8
Rio Grande,2010-09-01,27.8
Rio Grande,2010-10-01,10.6
Rio Grande,2010-11-01,38.6
Rio Grande,2010-12-01,41.4
Rio Grande,2011-01-01,35.6
Rio Grande,2011-02-01,133.2
Rio Grande,2011-03-01,281.4
Rio Grande,2011-04-01,98.0
Rio Grande,2011-05-01,146.2
Rio Grande,2011-06-01,126.6
Rio Grande,2011-07-01,41.8
Rio Grande,2011-08-01,147.2
Rio Grande,2011-09-01,62.6
Rio Grande,2011-10-01,63.4
Rio Grande,2011-11-01,52.0
Rio Grande,2011-12-01,53.0
Rio Grande,2012-01-01,28.0
Rio Grande,2012-02-01,124.8
Rio Grande,2012-03-01,85.80000000000001
Rio Grande,2012-04-01,84.6
Rio Grande,2012-05-01,11.6
Rio Grande,2012-06-01,81.2
Rio Grande,2012-07-01,117.6
Rio Grande,2012-08-01,110.8
Rio Grande,2012-09-01,132.2
Rio Grande,2012-10-01,36.8
Rio Grande,2012-11-01,36.0
Rio Grande,2012-12-01,138.2
Rio Grande,2013-01-01,78.8
Rio Grande,2013-02-01,194.8
Rio Grande,2013-03-01,31.2
Rio Grande,2013-04-01,149.4
Rio Grande,2013-05-01,89.39999999999999
Rio Grande,2013-06-01,128.4
Rio Grande,2013-07-01,73.4
Rio Grande,2013-08-01,112.4
Rio Grande,2013-09-01,120.8
Rio Grande,2013-10-01,119.2
Rio Grande,2013-11-01,148.2
Rio Grande,2013-12-01,70.4
Rio Grande,2014-01-01,201.4
Rio Grande,2014-02-01,170.4
Rio Grande,2014-03-01,168.4
Rio Grande,2014-04-01,55.4
Rio Grande,2014-05-01,36.4
Rio Grande,2014-06-01,149.0
Rio Grande,2014-07-01,200.2
Rio Grande,2014-08-01,58.8
Rio Grande,2014-09-01,109.4
Rio Grande,2014-10-01,254.4
Rio Grande,2014-11-01,71.4
Rio Grande,2014-12-01,145.0
Rio Grande,2015-01-01,186.4
Rio Grande,2015-02-01,0.7999999999999999
Rio Grande,2015-03-01,1.8
Rio Grande,2015-04-01,4.8
Rio Grande,2015-05-01,126.8
Rio Grande,2015-06-01,122.8
Rio Grande,2015-07-01,148.0
Rio Grande,2015-08-01,62.2
Rio Grande,2015-09-01,278.8
Rio Grande,2015-10-01,203.8
Rio Grande,2015-11-01,124.2
Rio Grande,2015-12-01,136.6
Rio Grande,2016-01-01,66.0
Rio Grande,2016-02-01,151.0
Rio Grande,2016-03-01,189.8
Rio Grande,2016-04-01,188.6
Rio Grande,2016-05-01,0.6000000000000001
Rio Grande,2016-06-01,0.0
Rio Grande,2016-07-01,30.6
Rio Grande,2016-08-01,121.6
Rio Grande,2016-09-01,87.6
Rio Grande,2016-10-01,76.8
Rio Grande,2016-11-01,105.39999999999999
Rio Grande,2016-12-01,82.0
Rio Grande,2017-01-01,61.8
Rio Grande,2017-02-01,74.8
Rio Grande,2017-03-01,169.2
Rio Grande,2017-04-01,93.4
Rio Grande,2017-05-01,175.79999999999998
Rio Grande,2017-06-01,35.6
Rio Grande,2017-07-01,31.200000000000003
Rio Grande,2017-08-01,0.0
Rio Grande,2017-09-01,27.4
Rio Grande,2017-10-01,232.4
Rio Grande,2017-11-01,30.8
Rio Grande,2017-12-01,30.2
Rio Grande,2018-01-01,97.2
Rio Grande,2018-02-01,65.4
Rio Grande,2018-03-01,76.0
Rio Grande,2018-04-01,82.0
Rio Grande,2018-05-01,54.800000000000004
Rio Grande,2018-06-01,0.0
Rio Grande,2018-07-01,225.8
Rio Grande,2018-08-01,75.4
Rio Grande,2018-09-01,147.6
Rio Grande,2018-10-01,19.8
Rio Grande,2018-11-01,0.0
Rio Grande,2018-12-01,46.2
Rio Grande,2019-01-01,222.20000000000002
Rio Grande,2019-02-01,31.799999999999997
Rio Grande,2019-03-01,23.599999999999998
Rio Grande,2019-04-01,63.8
Rio Grande,2019-05-01,44.2
Rio Grande,2019-06-01,38.4
Rio Grande,2019-07-01,120.60000000000001
Rio Grande,2019-08-01,97.4
Rio Grande,2019-09-01,163.6
Rio Grande,2019-10-01,196.6
Rio Grande,2019-11-01,45.8
Rio Grande,2019-12-01,38.800000000000004
Rio Grande,2020-01-01,38.4
Rio Grande,2020-02-01,25.4
Rio Grande,2020-03-01,30.6
Rio Grande,2020-04-01,50.6
Rio Grande,2020-05-01,100.8
Rio Grande,2020-06-01,226.4
Rio Grande,2020-07-01,82.0
Rio Grande,2020-08-01,44.2
Rio Grande,2020-09-01,158.2
Rio Grande,2020-10-01,122.8
Rio Grande,2020-11-01,29.8
Rio Grande,2020-12-01,119.0
Rio Grande,2021-01-01,192.4
Rio Grande,2021-02-01,156.4
Rio Grande,2021-03-01,140.4
Rio Grande,2021-04-01,41.8
Rio Grande,2021-05-01,25.6
Rio Grande,2021-06-01,83.0
Rio Grande,2021-07-01,64.2
Rio Grande,2021-08-01,112.0
Rio Grande,2021-09-01,172.8
Rio Grande,2021-10-01,63.0
Rio Grande,2021-11-01,49.6
Rio Grande,2021-12-01,18.2
Rio Grande,2022-01-01,70.4
Rio Grande,2022-02-01,50.8
Rio Grande,2022-03-01,65.4
Rio Grande,2022-04-01,123.8
Rio Grande,2022-05-01,57.199999999999996
Rio Grande,2022-06-01,84.6
Rio Grande,2022-07-01,173.8
Rio Grande,2022-08-01,118.0
Rio Grande,2022-09-01,56.6
Rio Grande,2022-10-01,93.2
Rio Grande,2022-11-01,49.8
Rio Grande,2022-12-01,17.4
Erechim,2007-01-01,162.8
Erechim,2007-02-01,134.4
Erechim,2007-03-01,119.0
Erechim,2007-04-01,5.6000000000000005
Erechim,2007-05-01,212.4
Erechim,2007-06-01,42.2
Erechim,2007-07-01,197.4
Erechim,2007-08-01,120.2
Erechim,2007-09-01,87.4
Erechim,2007-10-01,166.20000000000002
Erechim,2007-11-01,158.8
Erechim,2007-12-01,118.2
Erechim,2008-01-01,86.39999999999999
Erechim,2008-02-01,97.6
Erechim,2008-03-01,139.4
Erechim,2008-04-01,218.8
Erechim,2008-05-01,71.0
Erechim,2008-06-01,115.4
Erechim,2008-07-01,32.4
Erechim,2008-08-01,115.8
Erechim,2008-09-01,97.2
Erechim,2008-10-01,354.6
Erechim,2008-11-01,163.0
Erechim,2008-12-01,44.2
Erechim,2009-01-01,144.4
Erechim,2009-02-01,169.0
Erechim,2009-03-01,36.0
Erechim,2009-04-01,18.6
Erechim,2009-05-01,122.4
Erechim,2009-06-01,76.2
Erechim,2009-07-01,121.60000000000001
Erechim,2009-08-01,125.6
Erechim,2009-09-01,261.8
Erechim,2009-10-01,202.8
Erechim,2009-11-01,276.8
Erechim,2009-12-01,171.4
Erechim,2010-01-01,157.6
Erechim,2010-02-01,140.2
Erechim,2010-03-01,115.39999999999999
Erechim,2010-04-01,242.0
Erechim,2010-05-01,187.8
Erechim,2010-06-01,85.2
Erechim,2010-07-01,215.2
Erechim,2010-08-01,44.4
Erechim,2010-09-01,195.4
Erechim,2010-10-01,107.8
Erechim,2010-11-01,114.8
Erechim,2010-12-01,262.6
Erechim,2011-01-01,133.2
Erechim,2011-02-01,202.0
Erechim,2011-03-01,255.4
Erechim,2011-04-01,103.0
Erechim,2011-05-01,82.2
Erechim,2011-06-01,267.4
Erechim,2011-07-01,282.6
Erechim,2011-08-01,227.2
Erechim,2011-09-01,100.6
Erechim,2011-10-01,186.0
Erechim,2011-11-01,82.4
Erechim,2011-12-01,14.6
Erechim,2012-01-01,70.6
Erechim,2012-02-01,21.2
Erechim,2012-03-01,3.0
Erechim,2012-04-01,25.0
Erechim,2012-05-01,20.4
Erechim,2012-06-01,172.6
Erechim,2012-07-01,248.0
Erechim,2012-08-01,6.2
Erechim,2012-09-01,117.2
Erechim,2012-10-01,105.0
Erechim,2012-11-01,40.2
Erechim,2012-12-01,177.2
Erechim,2013-01-01,152.0
Erechim,2013-02-01,188.20000000000002
Erechim,2013-03-01,183.8
Erechim,2013-04-01,128.0
Erechim,2013-05-01,113.0
Erechim,2013-06-01,154.0
Erechim,2013-07-01,90.2
Erechim,2013-08-01,318.0
Erechim,2013-09-01,188.6
Erechim,2013-10-01,178.6
Erechim,2013-11-01,163.6
Erechim,2013-12-01,152.6
Erechim,2014-01-01,185.8
Erechim,2014-02-01,231.6
Erechim,2014-03-01,232.4
Erechim,2014-04-01,97.4
Erechim,2014-05-01,0.0
Erechim,2014-06-01,18.2
Erechim,2014-07-01,0.0
Erechim,2014-08-01,87.8
Erechim,2014-09-01,291.0
Erechim,2014-10-01,104.4
Erechim,2014-11-01,159.4
Erechim,2014-12-01,213.4
Erechim,2015-01-01,300.4
Erechim,2015-02-01,202.0
Erechim,2015-03-01,26.200000000000003
Erechim,2015-04-01,28.8
Erechim,2015-05-01,0.0
Erechim,2015-06-01,0.0
Erechim,2015-07-01,0.0
Erechim,2015-08-01,51.2
Erechim,2015-09-01,288.8
Erechim,2015-10-01,248.79999999999998
Erechim,2015-11-01,236.0
Erechim,2015-12-01,436.0
Erechim,2016-01-01,0.0
Erechim,2016-02-01,0.0
Erechim,2016-03-01,0.0
Erechim,2016-04-01,64.0
Erechim,2016-05-01,0.0
Erechim,2016-06-01,0.0
Erechim,2016-07-01,127.4
Erechim,2016-08-01,179.8
Erechim,2016-09-01,55.0
Erechim,2016-10-01,227.6
Erechim,2016-11-01,61.0
Erechim,2016-12-01,191.4
Erechim,2017-01-01,211.6
Erechim,2017-02-01,156.0
Erechim,2017-03-01,151.79999999999998
Erechim,2017-04-01,191.4
Erechim,2017-05-01,463.2
Erechim,2017-06-01,204.6
Erechim,2017-07-01,11.0
Erechim,2017-08-01,75.2
Erechim,2017-09-01,63.199999999999996
Erechim,2017-10-01,113.60000000000001
Erechim,2017-11-01,52.8
Erechim,2017-12-01,22.8
Erechim,2018-01-01,120.8
Erechim,2018-02-01,59.2
Erechim,2018-03-01,59.0
Erechim,2018-04-01,4.0
Erechim,2018-05-01,76.4
Erechim,2018-06-01,113.0
Erechim,2018-07-01,89.0
Erechim,2018-08-01,104.60000000000001
Erechim,2018-09-01,160.8
Erechim,2018-10-01,236.8
Erechim,2018-11-01,199.2
Erechim,2018-12-01,97.0
Erechim,2019-01-01,232.4
Erechim,2019-02-01,193.8
Erechim,2019-03-01,214.0
Erechim,2019-04-01,147.8
Erechim,2019-05-01,270.6
Erechim,2019-06-01,40.0
Erechim,2019-07-01,135.6
Erechim,2019-08-01,53.4
Erechim,2019-09-01,45.4
Erechim,2019-10-01,204.6
Erechim,2019-11-01,118.60000000000001
Erechim,2019-12-01,114.19999999999999
Erechim,2020-01-01,131.4
Erechim,2020-02-01,91.2
Erechim,2020-03-01,27.8
Erechim,2020-04-01,67.6
Erechim,2020-05-01,149.4
Erechim,2020-06-01,238.6
Erechim,2020-07-01,182.4
Erechim,2020-08-01,95.8
Erechim,2020-09-01,67.0
Erechim,2020-10-01,23.4
Erechim,2020-11-01,128.6
Erechim,2020-12-01,144.4
Erechim,2021-01-01,319.0
Erechim,2021-02-01,24.0
Erechim,2021-03-01,95.60000000000001
Erechim,2021-04-01,5.4
Erechim,2021-05-01,115.6
Erechim,2021-06-01,183.4
Erechim,2021-07-01,46.8
Erechim,2021-08-01,32.2
Erechim,2021-09-01,0.4
Erechim,2021-10-01,40.2
Erechim,2021-11-01,63.8
Erechim,2021-12-01,26.2
Erechim,2022-01-01,202.0
Erechim,2022-02-01,0.0
Erechim,2022-03-01,0.0
Erechim,2022-04-01,0.0
Erechim,2022-05-01,44.0
Erechim,2022-06-01,183.4
Erechim,2022-07-01,83.4
Erechim,2022-08-01,61.8
Erechim,2022-09-01,3.6
Erechim,2022-10-01,77.4
Erechim,2022-11-01,94.4
Erechim,2022-12-01,0.0
Bento Gonçalves,2007-01-01,132.2
Bento Gonçalves,2007-02-01,57.2
Bento Gonçalves,2007-03-01,204.4
Bento Gonçalves,2007-04-01,51.4
Bento Gonçalves,2007-05-01,175.8
Bento Gonçalves,2007-06-01,59.0
Bento Gonçalves,2007-07-01,250.0
Bento Gonçalves,2007-08-01,123.6
Bento Gonçalves,2007-09-01,266.4
Bento Gonçalves,2007-10-01,122.2
Bento Gonçalves,2007-11-01,118.0
Bento Gonçalves,2007-12-01,198.6
Bento Gonçalves,2008-01-01,55.0
Bento Gonçalves,2008-02-01,86.2
Bento Gonçalves,2008-03-01,71.4
Bento Gonçalves,2008-04-01,86.4
Bento Gonçalves,2008-05-01,163.0
Bento Gonçalves,2008-06-01,157.6
Bento Gonçalves,2008-07-01,84.4
Bento Gonçalves,2008-08-01,181.2
Bento Gonçalves,2008-09-01,144.0
Bento Gonçalves,2008-10-01,300.2
Bento Gonçalves,2008-11-01,81.8
Bento Gonçalves,2008-12-01,71.6
Bento Gonçalves,2009-01-01,256.4
Bento Gonçalves,2009-02-01,139.0
Bento Gonçalves,2009-03-01,85.2
Bento Gonçalves,2009-04-01,24.4
Bento Gonçalves,2009-05-01,127.8
Bento Gonçalves,2009-06-01,81.0
Bento Gonçalves,2009-07-01,47.0
Bento Gonçalves,2009-08-01,42.8
Bento Gonçalves,2009-09-01,329.6
Bento Gonçalves,2009-10-01,137.0
Bento Gonçalves,2009-11-01,347.2
Bento Gonçalves,2009-12-01,206.6
Bento Gonçalves,2010-01-01,278.4
Bento Gonçalves,2010-02-01,161.4
Bento Gonçalves,2010-03-01,58.4
Bento Gonçalves,2010-04-01,136.4
