Cidade,Data de Referência,Temperatura Mediana (°C)
Bagé,2013-10-01,16.875
Bagé,2013-11-01,19.775
Bagé,2013-12-01,23.450000000000003
Bagé,2014-01-01,23.275
Bagé,2014-02-01,22.5
Bagé,2014-03-01,19.65
Bagé,2014-04-01,18.625
Bagé,2014-05-01,14.8
Bagé,2014-06-01,12.65
Bagé,2014-07-01,14.1
Bagé,2014-08-01,13.875
Bagé,2014-09-01,15.5
Bagé,2014-10-01,18.725
Bagé,2014-11-01,20.05
Bagé,2014-12-01,21.6
Bagé,2015-01-01,22.7
Bagé,2015-02-01,21.9
Bagé,2015-03-01,21.525
Bagé,2015-04-01,18.55
Bagé,2015-05-01,16.0
Bagé,2015-06-01,14.05
Bagé,2015-07-01,12.8
Bagé,2015-08-01,17.0
Bagé,2015-09-01,14.55
Bagé,2015-10-01,15.95
Bagé,2015-11-01,18.7
Bagé,2015-12-01,21.4
Bagé,2016-01-01,23.175
Bagé,2016-02-01,23.8
Bagé,2016-03-01,19.25
Bagé,2016-04-01,20.125
Bagé,2016-05-01,
Bagé,2016-06-01,
Bagé,2016-07-01,11.675
Bagé,2016-08-01,14.025
Bagé,2016-09-01,12.95
Bagé,2016-10-01,17.424999999999997
Bagé,2016-11-01,19.6
Bagé,2016-12-01,22.875
Bagé,2017-01-01,23.1
Bagé,2017-02-01,22.85
Bagé,2017-03-01,20.950000000000003
Bagé,2017-04-01,18.35
Bagé,2017-05-01,15.55
Bagé,2017-06-01,13.75
Bagé,2017-07-01,15.85
Bagé,2017-08-01,15.2
Bagé,2017-09-01,16.85
Bagé,2017-10-01,17.1
Bagé,2017-11-01,18.3
Bagé,2017-12-01,23.225
Bagé,2018-01-01,23.200000000000003
Bagé,2018-02-01,22.4
Bagé,2018-03-01,20.3
Bagé,2018-04-01,20.9
Bagé,2018-05-01,16.950000000000003
Bagé,2018-06-01,11.0
Bagé,2018-07-01,10.8
Bagé,2018-08-01,11.8
Bagé,2018-09-01,16.799999999999997
Bagé,2018-10-01,17.575000000000003
Bagé,2018-11-01,21.25
Bagé,2018-12-01,21.25
Bagé,2019-01-01,23.1
Bagé,2019-02-01,22.450000000000003
Bagé,2019-03-01,20.475
Bagé,2019-04-01,19.025
Bagé,2019-05-01,16.25
Bagé,2019-06-01,17.275
Bagé,2019-07-01,12.175
Bagé,2019-08-01,13.0
Bagé,2019-09-01,14.25
Bagé,2019-10-01,17.725
Bagé,2019-11-01,20.35
Bagé,2019-12-01,22.3
Bagé,2020-01-01,23.075000000000003
Bagé,2020-02-01,22.75
Bagé,2020-03-01,22.55
Bagé,2020-04-01,18.05
Bagé,2020-05-01,14.375
Bagé,2020-06-01,13.7
Bagé,2020-07-01,10.425
Bagé,2020-08-01,15.475
Bagé,2020-09-01,14.05
Bagé,2020-10-01,17.125
Bagé,2020-11-01,19.55
Bagé,2020-12-01,21.4
Bagé,2021-01-01,23.0
Bagé,2021-02-01,21.15
Bagé,2021-03-01,20.625
Bagé,2021-04-01,18.700000000000003
Bagé,2021-05-01,12.725
Bagé,2021-06-01,11.55
Bagé,2021-07-01,12.65
Bagé,2021-08-01,13.35
Bagé,2021-09-01,15.75
Bagé,2021-10-01,17.200000000000003
Bagé,2021-11-01,19.625
Bagé,2021-12-01,21.4
Bagé,2022-01-01,25.1
Bagé,2022-02-01,22.4
Bagé,2022-03-01,20.1
Bagé,2022-04-01,17.75
Bagé,2022-05-01,13.525
Bagé,2022-06-01,11.05
Bagé,2022-07-01,14.4
Bagé,2022-08-01,12.2
Bagé,2022-09-01,13.55
Bagé,2022-10-01,16.0
Bagé,2022-11-01,19.875
Bagé,2022-12-01,22.6
Rio Grande,2007-01-01,23.950000000000003
Rio Grande,2007-02-01,24.0
Rio Grande,2007-03-01,23.3
Rio Grande,2007-04-01,21.5
Rio Grande,2007-05-01,13.9
Rio Grande,2007-06-01,12.25
Rio Grande,2007-07-01,10.675
Rio Grande,2007-08-01,11.2
Rio Grande,2007-09-01,16.0
Rio Grande,2007-10-01,18.700000000000003
Rio Grande,2007-11-01,18.65
Rio Grande,2007-12-01,22.35
Rio Grande,2008-01-01,25.25
Rio Grande,2008-02-01,
Rio Grande,2008-03-01,22.75
Rio Grande,2008-04-01,19.1
Rio Grande,2008-05-01,16.5
Rio Grande,2008-06-01,13.375
Rio Grande,2008-07-01,15.1
Rio Grande,2008-08-01,13.9
Rio Grande,2008-09-01,15.3
Rio Grande,2008-10-01,18.25
Rio Grande,2008-11-01,20.825000000000003
Rio Grande,2008-12-01,21.85
Rio Grande,2009-01-01,22.55
Rio Grande,2009-02-01,23.6
Rio Grande,2009-03-01,22.8
Rio Grande,2009-04-01,20.1
Rio Grande,2009-05-01,17.25
Rio Grande,2009-06-01,12.35
Rio Grande,2009-07-01,11.6
Rio Grande,2009-08-01,13.75
Rio Grande,2009-09-01,17.25
Rio Grande,2009-10-01,
Rio Grande,2009-11-01,21.1
Rio Grande,2009-12-01,22.05
Rio Grande,2010-01-01,24.05
Rio Grande,2010-02-01,25.3
Rio Grande,2010-03-01,23.25
Rio Grande,2010-04-01,20.05
Rio Grande,2010-05-01,17.799999999999997
Rio Grande,2010-06-01,15.0
Rio Grande,2010-07-01,13.2
Rio Grande,2010-08-01,13.5
Rio Grande,2010-09-01,16.375
Rio Grande,2010-10-01,16.9
Rio Grande,2010-11-01,18.875
Rio Grande,2010-12-01,22.5
Rio Grande,2011-01-01,24.4
Rio Grande,2011-02-01,24.0
Rio Grande,2011-03-01,22.3
Rio Grande,2011-04-01,20.1
Rio Grande,2011-05-01,16.4
Rio Grande,2011-06-01,13.75
Rio Grande,2011-07-01,12.25
Rio Grande,2011-08-01,13.25
Rio Grande,2011-09-01,14.925
Rio Grande,2011-10-01,17.75
Rio Grande,2011-11-01,20.35
Rio Grande,2011-12-01,20.875
Rio Grande,2012-01-01,23.3
Rio Grande,2012-02-01,24.75
Rio Grande,2012-03-01,22.975
Rio Grande,2012-04-01,18.85
Rio Grande,2012-05-01,18.4
Rio Grande,2012-06-01,13.05
Rio Grande,2012-07-01,10.95
Rio Grande,2012-08-01,16.7
Rio Grande,2012-09-01,16.85
Rio Grande,2012-10-01,19.200000000000003
Rio Grande,2012-11-01,21.25
Rio Grande,2012-12-01,23.85
Rio Grande,2013-01-01,22.950000000000003
Rio Grande,2013-02-01,23.700000000000003
Rio Grande,2013-03-01,20.9
Rio Grande,2013-04-01,19.65
Rio Grande,2013-05-01,15.725
Rio Grande,2013-06-01,13.5
Rio Grande,2013-07-01,12.6
Rio Grande,2013-08-01,11.6
Rio Grande,2013-09-01,15.5
Rio Grande,2013-10-01,17.75
Rio Grande,2013-11-01,20.4
Rio Grande,2013-12-01,23.0
Rio Grande,2014-01-01,24.450000000000003
Rio Grande,2014-02-01,24.2
Rio Grande,2014-03-01,22.1
Rio Grande,2014-04-01,20.6
Rio Grande,2014-05-01,16.450000000000003
Rio Grande,2014-06-01,15.0
Rio Grande,2014-07-01,15.45
Rio Grande,2014-08-01,14.6
Rio Grande,2014-09-01,16.65
Rio Grande,2014-10-01,19.25
Rio Grande,2014-11-01,21.125
Rio Grande,2014-12-01,23.075000000000003
Rio Grande,2015-01-01,24.4
Rio Grande,2015-02-01,25.700000000000003
Rio Grande,2015-03-01,25.950000000000003
Rio Grande,2015-04-01,20.8
Rio Grande,2015-05-01,18.25
Rio Grande,2015-06-01,14.9
Rio Grande,2015-07-01,14.55
Rio Grande,2015-08-01,17.799999999999997
Rio Grande,2015-09-01,15.75
Rio Grande,2015-10-01,17.1
Rio Grande,2015-11-01,19.25
Rio Grande,2015-12-01,22.4
Rio Grande,2016-01-01,23.75
Rio Grande,2016-02-01,24.5
Rio Grande,2016-03-01,21.625
Rio Grande,2016-04-01,21.65
Rio Grande,2016-05-01,14.925
Rio Grande,2016-06-01,
Rio Grande,2016-07-01,13.15
Rio Grande,2016-08-01,14.0
Rio Grande,2016-09-01,13.75
Rio Grande,2016-10-01,17.35
Rio Grande,2016-11-01,20.0
Rio Grande,2016-12-01,22.5
Rio Grande,2017-01-01,24.05
Rio Grande,2017-02-01,25.325000000000003
Rio Grande,2017-03-01,22.65
Rio Grande,2017-04-01,20.0
Rio Grande,2017-05-01,17.950000000000003
Rio Grande,2017-06-01,15.2
Rio Grande,2017-07-01,16.25
Rio Grande,2017-08-01,
Rio Grande,2017-09-01,18.075000000000003
Rio Grande,2017-10-01,18.675
Rio Grande,2017-11-01,19.4
Rio Grande,2017-12-01,22.05
Rio Grande,2018-01-01,23.75
Rio Grande,2018-02-01,23.1
Rio Grande,2018-03-01,22.0
Rio Grande,2018-04-01,22.35
Rio Grande,2018-05-01,18.0
Rio Grande,2018-06-01,11.875
Rio Grande,2018-07-01,13.05
Rio Grande,2018-08-01,13.2
Rio Grande,2018-09-01,17.0
Rio Grande,2018-10-01,18.0
Rio Grande,2018-11-01,21.3
Rio Grande,2018-12-01,22.025
Rio Grande,2019-01-01,24.3
Rio Grande,2019-02-01,23.75
Rio Grande,2019-03-01,22.1
Rio Grande,2019-04-01,20.35
Rio Grande,2019-05-01,18.700000000000003
Rio Grande,2019-06-01,17.674999999999997
Rio Grande,2019-07-01,12.75
Rio Grande,2019-08-01,13.5
Rio Grande,2019-09-01,14.95
Rio Grande,2019-10-01,18.4
Rio Grande,2019-11-01,21.15
Rio Grande,2019-12-01,22.65
Rio Grande,2020-01-01,23.825000000000003
Rio Grande,2020-02-01,23.700000000000003
Rio Grande,2020-03-01,23.05
Rio Grande,2020-04-01,19.775
Rio Grande,2020-05-01,16.2
Rio Grande,2020-06-01,15.2
Rio Grande,2020-07-01,11.8
Rio Grande,2020-08-01,14.6
Rio Grande,2020-09-01,14.65
Rio Grande,2020-10-01,17.45
Rio Grande,2020-11-01,20.0
Rio Grande,2020-12-01,22.200000000000003
Rio Grande,2021-01-01,24.0
Rio Grande,2021-02-01,23.1
Rio Grande,2021-03-01,22.5
Rio Grande,2021-04-01,20.950000000000003
Rio Grande,2021-05-01,14.4
Rio Grande,2021-06-01,13.95
Rio Grande,2021-07-01,12.325
Rio Grande,2021-08-01,14.15
Rio Grande,2021-09-01,16.6
Rio Grande,2021-10-01,17.75
Rio Grande,2021-11-01,20.450000000000003
Rio Grande,2021-12-01,21.55
Rio Grande,2022-01-01,24.85
Rio Grande,2022-02-01,23.85
Rio Grande,2022-03-01,21.95
Rio Grande,2022-04-01,19.425
Rio Grande,2022-05-01,15.1
Rio Grande,2022-06-01,12.55
Rio Grande,2022-07-01,14.5
Rio Grande,2022-08-01,13.775
Rio Grande,2022-09-01,15.2
Rio Grande,2022-10-01,16.9
Rio Grande,2022-11-01,20.4
Rio Grande,2022-12-01,22.4
Erechim,2007-01-01,21.75
Erechim,2007-02-01,21.0
Erechim,2007-03-01,21.35
Erechim,2007-04-01,18.65
Erechim,2007-05-01,13.15
Erechim,2007-06-01,15.325
Erechim,2007-07-01,11.175
Erechim,2007-08-01,13.575
Erechim,2007-09-01,17.65
Erechim,2007-10-01,18.075000000000003
Erechim,2007-11-01,18.15
Erechim,2007-12-01,21.15
Erechim,2008-01-01,20.700000000000003
Erechim,2008-02-01,20.3
Erechim,2008-03-01,19.15
Erechim,2008-04-01,16.7
Erechim,2008-05-01,14.25
Erechim,2008-06-01,12.15
Erechim,2008-07-01,15.75
Erechim,2008-08-01,15.55
Erechim,2008-09-01,13.825
Erechim,2008-10-01,17.25
Erechim,2008-11-01,18.75
Erechim,2008-12-01,20.475
Erechim,2009-01-01,20.05
Erechim,2009-02-01,20.950000000000003
Erechim,2009-03-01,20.65
Erechim,2009-04-01,18.450000000000003
Erechim,2009-05-01,16.525
Erechim,2009-06-01,11.8
Erechim,2009-07-01,11.05
Erechim,2009-08-01,15.775
Erechim,2009-09-01,15.9
Erechim,2009-10-01,17.2
Erechim,2009-11-01,21.1
Erechim,2009-12-01,21.475
Erechim,2010-01-01,21.45
Erechim,2010-02-01,22.25
Erechim,2010-03-01,19.325000000000003
Erechim,2010-04-01,16.950000000000003
Erechim,2010-05-01,13.525
Erechim,2010-06-01,13.5
Erechim,2010-07-01,13.7
Erechim,2010-08-01,13.95
Erechim,2010-09-01,15.225
Erechim,2010-10-01,15.95
Erechim,2010-11-01,18.55
Erechim,2010-12-01,19.700000000000003
Erechim,2011-01-01,21.450000000000003
Erechim,2011-02-01,20.65
Erechim,2011-03-01,19.05
Erechim,2011-04-01,17.8
Erechim,2011-05-01,14.275
Erechim,2011-06-01,11.975
Erechim,2011-07-01,13.775
Erechim,2011-08-01,14.15
Erechim,2011-09-01,14.4
Erechim,2011-10-01,17.575000000000003
Erechim,2011-11-01,18.675
Erechim,2011-12-01,20.375
Erechim,2012-01-01,20.8
Erechim,2012-02-01,22.5
Erechim,2012-03-01,20.15
Erechim,2012-04-01,17.875
Erechim,2012-05-01,15.025
Erechim,2012-06-01,13.35
Erechim,2012-07-01,12.25
Erechim,2012-08-01,16.65
Erechim,2012-09-01,16.75
Erechim,2012-10-01,17.799999999999997
Erechim,2012-11-01,20.625
Erechim,2012-12-01,21.75
Erechim,2013-01-01,20.05
Erechim,2013-02-01,20.4
Erechim,2013-03-01,17.95
Erechim,2013-04-01,17.200000000000003
Erechim,2013-05-01,15.0
Erechim,2013-06-01,13.475
Erechim,2013-07-01,13.3
Erechim,2013-08-01,12.45
Erechim,2013-09-01,15.15
Erechim,2013-10-01,16.95
Erechim,2013-11-01,19.775
Erechim,2013-12-01,22.025
Erechim,2014-01-01,21.8
Erechim,2014-02-01,21.675
Erechim,2014-03-01,19.15
Erechim,2014-04-01,18.05
Erechim,2014-05-01,18.25
Erechim,2014-06-01,12.75
Erechim,2014-07-01,13.225
Erechim,2014-08-01,15.475
Erechim,2014-09-01,16.35
Erechim,2014-10-01,18.950000000000003
Erechim,2014-11-01,19.8
Erechim,2014-12-01,20.975
Erechim,2015-01-01,20.6
Erechim,2015-02-01,20.65
Erechim,2015-03-01,19.950000000000003
Erechim,2015-04-01,18.15
Erechim,2015-05-01,14.5
Erechim,2015-06-01,14.55
Erechim,2015-07-01,13.475
Erechim,2015-08-01,18.05
Erechim,2015-09-01,16.950000000000003
Erechim,2015-10-01,17.924999999999997
Erechim,2015-11-01,18.9
Erechim,2015-12-01,20.9
Erechim,2016-01-01,22.05
Erechim,2016-02-01,21.5
Erechim,2016-03-01,18.775
Erechim,2016-04-01,21.25
Erechim,2016-05-01,14.45
Erechim,2016-06-01,
Erechim,2016-07-01,12.175
Erechim,2016-08-01,14.35
Erechim,2016-09-01,14.225
Erechim,2016-10-01,17.6
Erechim,2016-11-01,19.5
Erechim,2016-12-01,20.725
Erechim,2017-01-01,21.1
Erechim,2017-02-01,21.4
Erechim,2017-03-01,20.15
Erechim,2017-04-01,17.55
Erechim,2017-05-01,15.575
Erechim,2017-06-01,14.3
Erechim,2017-07-01,14.8
Erechim,2017-08-01,15.325
Erechim,2017-09-01,18.975
Erechim,2017-10-01,17.1
Erechim,2017-11-01,18.175
Erechim,2017-12-01,21.55
Erechim,2018-01-01,20.925
Erechim,2018-02-01,20.05
Erechim,2018-03-01,20.5
Erechim,2018-04-01,21.5
Erechim,2018-05-01,16.2
Erechim,2018-06-01,12.75
Erechim,2018-07-01,14.8
Erechim,2018-08-01,11.7
Erechim,2018-09-01,16.299999999999997
Erechim,2018-10-01,17.225
Erechim,2018-11-01,19.85
Erechim,2018-12-01,21.5
Erechim,2019-01-01,22.575000000000003
Erechim,2019-02-01,20.55
Erechim,2019-03-01,18.825000000000003
Erechim,2019-04-01,18.75
Erechim,2019-05-01,16.450000000000003
Erechim,2019-06-01,16.2
Erechim,2019-07-01,13.75
Erechim,2019-08-01,14.35
Erechim,2019-09-01,16.45
Erechim,2019-10-01,18.775
Erechim,2019-11-01,20.15
Erechim,2019-12-01,21.45
Erechim,2020-01-01,21.35
Erechim,2020-02-01,20.75
Erechim,2020-03-01,21.4
Erechim,2020-04-01,17.3
Erechim,2020-05-01,14.1
Erechim,2020-06-01,14.55
Erechim,2020-07-01,14.25
Erechim,2020-08-01,15.4
Erechim,2020-09-01,17.6
Erechim,2020-10-01,19.35
Erechim,2020-11-01,19.525
Erechim,2020-12-01,21.15
Erechim,2021-01-01,20.65
Erechim,2021-02-01,20.025
Erechim,2021-03-01,19.85
Erechim,2021-04-01,17.45
Erechim,2021-05-01,14.025
Erechim,2021-06-01,12.85
Erechim,2021-07-01,12.45
Erechim,2021-08-01,15.725
Erechim,2021-09-01,20.75
Erechim,2021-10-01,18.675
Erechim,2021-11-01,20.0
Erechim,2021-12-01,22.15
Erechim,2022-01-01,22.5
Erechim,2022-02-01,22.975
Erechim,2022-03-01,
Erechim,2022-04-01,
Erechim,2022-05-01,12.25
Erechim,2022-06-01,12.4
Erechim,2022-07-01,17.0
Erechim,2022-08-01,14.15
Erechim,2022-09-01,16.275
Erechim,2022-10-01,17.35
Erechim,2022-11-01,18.200000000000003
Erechim,2022-12-01,17.45
Bento Gonçalves,2007-01-01,21.975
Bento Gonçalves,2007-02-01,23.05
Bento Gonçalves,2007-03-01,21.4
Bento Gonçalves,2007-04-01,19.450000000000003
Bento Gonçalves,2007-05-01,12.45
Bento Gonçalves,2007-06-01,13.95
Bento Gonçalves,2007-07-01,10.75
Bento Gonçalves,2007-08-01,11.9
Bento Gonçalves,2007-09-01,17.1
Bento Gonçalves,2007-10-01,17.85
Bento Gonçalves,2007-11-01,17.950000000000003
Bento Gonçalves,2007-12-01,20.35
Bento Gonçalves,2008-01-01,20.75
Bento Gonçalves,2008-02-01,20.5
Bento Gonçalves,2008-03-01,20.1
Bento Gonçalves,2008-04-01,17.424999999999997
Bento Gonçalves,2008-05-01,13.55
Bento Gonçalves,2008-06-01,11.85
Bento Gonçalves,2008-07-01,14.5
Bento Gonçalves,2008-08-01,14.05
Bento Gonçalves,2008-09-01,12.95
Bento Gonçalves,2008-10-01,17.0
Bento Gonçalves,2008-11-01,18.75
Bento Gonçalves,2008-12-01,19.7
Bento Gonçalves,2009-01-01,20.3
Bento Gonçalves,2009-02-01,21.1
Bento Gonçalves,2009-03-01,20.700000000000003
Bento Gonçalves,2009-04-01,18.025
Bento Gonçalves,2009-05-01,15.45
Bento Gonçalves,2009-06-01,10.625
Bento Gonçalves,2009-07-01,11.275
Bento Gonçalves,2009-08-01,16.375
Bento Gonçalves,2009-09-01,15.4
Bento Gonçalves,2009-10-01,15.9
Bento Gonçalves,2009-11-01,21.2
Bento Gonçalves,2009-12-01,21.1
Bento Gonçalves,2010-01-01,21.5
Bento Gonçalves,2010-02-01,22.475
Bento Gonçalves,2010-03-01,20.25
